"","x"
"1",370
"2",4000
"3",472
"4",20000
"5",1373.03
"6",1925
"7",20000
"8",1008.48
"9",20000
"10",20000
"11",20000
"12",20000
"13",20000
"14",20000
"15",20000
"16",5900
"17",20000
"18",20000
"19",2900
"20",20000
"21",4900
"22",20000
"23",20000
"24",20000
"25",20000
"26",20000
"27",20000
"28",20000
"29",20000
"30",20000
"31",20000
"32",20000
"33",20000
"34",20000
"35",20000
"36",20000
"37",5100
"38",600
"39",700
"40",505.03
"41",20000
"42",20000
"43",20000
"44",4600
"45",281.06
"46",1196.7
"47",20000
"48",2621.82
"49",3736.7
"50",20000
"51",4571.51
"52",5100
"53",700
"54",26
"55",0.83
"56",20000
"57",1.82
"58",86.4
"59",2.17
"60",0.32
"61",52
"62",22.3
"63",32.3
"64",1938
"65",0.03
"66",35.6
"67",4770
"68",1043
"69",23
"70",2290
"71",3134
"72",22265
"73",360
"74",973
"75",6878
"76",343
"77",668
"78",1672
"79",1050
"80",164
"81",9
"82",9.5
"83",1054
"84",123
"85",5
"86",33
"87",70
"88",1.5
"89",26
"90",0.65
"91",1.3
"92",342
"93",147
"94",42
"95",214
"96",343
"97",10.7
"98",338
"99",1351
"100",8.4
"101",3788
"102",20000
"103",1379
"104",63
"105",476
"106",1.2
"107",4.5
"108",220
"109",767
"110",4.6
"111",29
"112",2358
"113",250
"114",204
"115",45
"116",127
"117",208
"118",15
"119",95
"120",262
"121",20000
"122",1720
"123",20000
"124",10253
"125",2043
"126",5570
"127",2553
"128",20000
"129",3363
"130",4610
"131",2183
"132",877
"133",2359
"134",90
"135",124
"136",29
"137",11
"138",25
"139",17
"140",62
"141",1064
"142",1678
"143",23
"144",39
"145",72
"146",430
"147",8
"148",38
"149",389
"150",1598
"151",15
"152",3363
"153",75.4
"154",53.3
"155",945
"156",2.3
"157",840
"158",1269
"159",400
"160",440
"161",308
"162",2.2
"163",0.11
"164",2.11
"165",0.18
"166",20000
"167",1024
"168",20000
"169",15850
"170",20000
"171",1917
"172",141
"173",1.84
"174",21.2
"175",5055
"176",2511
"177",1.8
"178",70
"179",2633
"180",1.9
"181",31.7
"182",629
"183",9.23
"184",85.7
"185",113
"186",540
"187",357
"188",336
"189",5926.7
"190",677
